Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
Separator porosity,0.45,,
Separator Bruggeman coefficient (electrolyte),1.5,,theoretical
# Separator density [kg.m-3],397,default,
# Separator specific heat capacity [J.kg-1.K-1],700,default,
# Separator thermal conductivity [W.m-1.K-1],0.16,default,
